,signal,date,open,high,low,close,volume,ema20,ema50,ema100,ema200,adx,rsi,max_high,min_low,close_above_ema50_cnt,close_below_ema50_cnt,ema50_above_ema200_cnt,ema50_below_ema200_cnt,entry_price,from,symbol,exit_price,to
867,SELL,2023-05-16 15:00:00+05:30,18320.35,18321.05,18303.4,18304.15,0,18341.31,18357.11,18367.29,18359.73,28.27,21.99,18377.45,18311.85,0,14,0,2,18303.4,2023-05-16 15:00:00+05:30,NIFTY 50_ema_adx_rsi_v1,18268.6,2023-05-18 09:15:00+05:30
868,SELL,2023-05-18 12:55:00+05:30,18191.4,18191.4,18183.25,18186.25,0,18216.6,18218.42,18224.42,18252.07,25.78,32.47,18258.75,18190.05,0,9,0,127,18183.25,2023-05-18 12:55:00+05:30,NIFTY 50_ema_adx_rsi_v1,18182.55,2023-05-19 14:40:00+05:30
869,BUY,2023-05-22 10:55:00+05:30,18288.35,18305.2,18283.25,18303.15,0,18265.13,18222.86,18195.81,18198.62,33.53,70.66,18294.25,18179.55,41,0,13,0,18305.2,2023-05-22 10:55:00+05:30,NIFTY 50_ema_adx_rsi_v1,18302.1,2023-05-24 09:15:00+05:30
870,SELL,2023-05-25 09:25:00+05:30,18294.7,18294.7,18252.35,18256.8,0,18290.49,18310.02,18326.56,18321.7,22.95,32.05,18325.8,18261.7,0,49,0,12,18252.35,2023-05-25 09:25:00+05:30,NIFTY 50_ema_adx_rsi_v1,18296.6,2023-05-25 14:55:00+05:30
871,BUY,2023-05-26 10:00:00+05:30,18378.4,18386.65,18378.4,18385.05,0,18339.0,18298.21,18288.76,18293.56,52.04,77.82,18382.75,18245.3,24,0,2,0,18386.65,2023-05-26 10:00:00+05:30,NIFTY 50_ema_adx_rsi_v1,18560.3,2023-05-31 09:25:00+05:30
872,SELL,2023-05-31 12:30:00+05:30,18497.75,18501.5,18484.05,18489.25,0,18517.05,18547.2,18567.62,18553.64,48.11,29.48,18558.8,18490.35,0,40,0,5,18484.05,2023-05-31 12:30:00+05:30,NIFTY 50_ema_adx_rsi_v1,18545.55,2023-05-31 14:45:00+05:30
873,SELL,2023-06-01 14:20:00+05:30,18527.45,18527.45,18513.55,18513.85,0,18539.23,18545.9,18548.91,18547.73,22.49,33.92,18565.3,18519.95,0,10,0,3,18513.55,2023-06-01 14:20:00+05:30,NIFTY 50_ema_adx_rsi_v1,18567.55,2023-06-02 09:15:00+05:30
874,BUY,2023-06-05 11:10:00+05:30,18630.4,18636.35,18627.95,18631.5,0,18611.91,18584.81,18564.46,18552.71,27.84,66.44,18630.7,18583.3,24,0,23,0,18636.35,2023-06-05 11:10:00+05:30,NIFTY 50_ema_adx_rsi_v1,18578.4,2023-06-06 10:00:00+05:30
875,SELL,2023-06-06 12:05:00+05:30,18542.15,18542.15,18531.95,18534.1,0,18553.59,18572.39,18580.13,18574.27,46.48,27.09,18577.6,18538.4,0,29,0,2,18531.95,2023-06-06 12:05:00+05:30,NIFTY 50_ema_adx_rsi_v1,18577.25,2023-06-06 15:00:00+05:30
876,BUY,2023-06-07 09:15:00+05:30,18665.6,18675.4,18649.85,18650.65,0,18585.43,18571.81,18572.7,18571.0,31.96,83.81,18622.05,18542.95,7,0,1,0,18675.4,2023-06-07 09:15:00+05:30,NIFTY 50_ema_adx_rsi_v1,18645.45,2023-06-08 14:45:00+05:30
